Token	NumDocs	PostingStartPos
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
pato	3	2
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
perro	4	5
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
vacío	0	-1
gato	2	0
vacío	0	-1
vacío	0	-1
